8,4.788766,lrbbm,QBHCDAR,Y2bB
7,5.213938,hiddq,SCDXRJM,::A7
8,5.945550,jybld,BEFSARC,yvE8
6,4.697786,yggxx,PKLOREL,WQtU
7,5.863670,qfwkh,OPKMCOQ,]U`[
7,5.177280,ewhsq,MGBBUQC,s[UT
7,4.562119,wmdkq,TBXIXMV,A]oi
6,4.766377,ptnsn,FWZQFJM,Tmjy
8,4.480125,wsofs,BCNUVQH,q5o6
9,4.315614,xwpqc,ACEHCHZ,;k=f
7,5.104970,nozjk,PQPXRJX,R4Y9
8,5.662075,acbhh,KICQCOE,1Qsv
9,4.462856,gdwdw,FCGPXIQ,chB8
7,4.006463,lcgde,WHTACIO,WtIa
6,4.369245,kvwcs,GSPQOQM,8m@D
5,4.723202,wnnyq,XNZLGDG,VKq;
9,5.398151,blnsa,DEUGUUM,RfFE
5,4.547822,betok,YXHOACH,RMex
6,4.242518,rdryx,LMNDQTU,\J^j
7,5.294415,ejuuk,WCIBXUB,NNfC
8,4.852399,yatdr,MYDIAJX,5d2]
5,5.442012,fmzhl,VIHJOUV,ff0`
9,5.561737,ayuly,EIMUOTE,w?3r
5,5.659617,fskpg,GKBBIPZ,ou=8
6,5.672207,amlud,FYKGRUO,rkr>
6,4.029159,obppl,EQLWPHA,qkg8
9,5.285385,hdcnv,WDTXJBM,T7S[
7,4.523141,uxnsp,USGDHII,s6t;
8,5.412133,xjcvu,DJSUYIB,:8iT
7,4.649083,iqyoy,GYXYMZE,GtEe
7,5.291203,egebe,OCFUFTS,Gw>w
7,4.826156,gsiee,HKCHZDF,U6cm
8,5.847025,fnxzt,QRSVBSP,b`E<
9,4.916078,bppkq,TPDDBUO,E?QD
7,5.213084,ivrfx,JUJJDDN,3jX0
8,5.541372,dgaij,VWCYAUB,:^pe
7,4.244652,ygehl,JXEPBPI,TRb1
8,5.297090,ubdub,ZVAFSPQ,I2^R
7,5.995940,fwovy,DDWYVVB,xKBu
5,4.595866,yjgfd,XVTNUNN,J<EX
8,4.337674,wuiup,FXLZBKN,5b4U
5,4.614337,nltcf,IRJCDDS,0Y>f
6,5.696000,gurfw,CSFMOXE,F@am
5,5.416525,rghwl,KOBMEAH,Lf:l
9,5.514564,ehhsv,EYMQPXH,?Awf
9,5.875428,fdzrh,BASJEUY,Htoh
8,5.761366,utpni,MUWFJQS,M9uf
8,5.299573,orxxv,RWCTDSN,bnri
8,5.400679,kxlpg,DIRBFCR,xfvU
7,5.270408,ynkrr,EFXSNVU,<w7k
7,4.211153,tgtwm,XNUPYCF,2D2Z
7,4.465696,ublmo,IITNCKL,6k>3
5,4.757421,xramp,ETVHQND,UcDZ
9,5.349699,ygpnk,AZQFRPJ,?Zd=
6,5.801544,cwmjo,BMSKSKF,HM32
9,5.423812,gxnno,FWLTWJW,[eW3
9,4.888195,ckdme,OUUZHYV,e`YD
5,5.707569,bqxxp,ITCVOGR,F2_y
9,5.940084,rrdsy,CQHKLEE,LgAE
7,5.671065,baqwq,WPQHSUE,W]Gu
7,4.179310,jwdvj,JAFQZZX,Y@EA
5,5.248119,cqgjl,APOPKVX,Yb;H
5,5.772689,tcmkb,LJOPGTQ,UCy9
9,5.819024,dvivh,ESNKQXM,:oTJ
8,5.387384,vmhlu,BBRYKTH,T6FO
5,4.770563,robde,YQCRGLU,xL<[
9,4.926884,ixwjj,RQOPUBJ,Hjwa
9,4.779333,ipfzw,SWYBGFY,WfM[
7,4.277690,arvrl,YAUUZDR,0gWF
8,4.224313,clffr,KEECBPD,4kfC
5,4.283593,djcxj,HRNXCXM,5t5X
5,5.174394,anxdr,MGZEBHN,SBDY
5,4.284579,wdvth,SFQUEEE,eTkj
6,5.655229,gskmv,RZGFWVR,Yol0
9,4.513347,tutpb,ZTYGNSR,GBsw
7,4.441357,comik,JZSDWSS,QURq
7,4.004418,uypcn,JULKFUZ,dYUh
6,4.816834,mespc,KJCAZXD,I=;@
6,4.827464,qsccz,YBNVQQC,Dt_:
8,4.584415,vcnvb,MASIDZG,d_fh
9,5.723517,zwpwm,FBFJKNC,M@>m
9,5.002960,zjchp,DNLUNMP,suY<
7,4.652194,nkeww,UYSGEFO,MTMQ
7,5.505870,sbaop,MDGZQMK,T=7<
8,5.381003,qvnxb,SLQZKGL,SlNe
8,4.934548,nsjol,VYBWXXT,YTJb
5,5.260702,baiak,QLLSZKH,[7ll
7,5.630587,moqkl,PEEFSNS,4JRL
8,4.029614,odsgc,FOHESYS,apBG
6,4.182628,oayuv,NOJDJFT,HE<b
9,4.006462,priuj,IMQWSPS,GZ3W
9,4.120311,aqbdb,GWTBSEE,GKH1
6,5.696046,nbyjv,PDJXYUZ,21b;
5,5.654111,bzpct,THOOFRE,ZfKX
7,5.785443,cvkzv,GBOFTHG,PS]y
5,4.914341,ywpnb,ITORAAI,WFSI
5,5.991241,wfpda,WLOHSSV,]DyJ
7,5.432494,syljz,LUCQXSW,^@Iw
8,5.406832,mfrtz,LQSEKEJ,GU8`
9,4.570159,fepxc,HVCZYSV,;hbC
8,4.510153,iswme,AYLZIFK,CR@t
5,5.103266,sfxtg,POJXQIY,rsN>
7,5.108194,qdjqn,QCGDQRN,mAVb
7,5.666123,zvmwn,UUFNNXV,Qrly
8,5.135634,liuqa,NDLYAVF,^h`6
9,5.596949,lnvac,SVPIUMO,ZB2X
9,5.086330,swkqw,GXYAZNT,E\4v
6,4.890157,eybnu,QBCQAGG,?fxW
7,5.240117,nqxqq,MLFOTPQ,MIhV
5,5.987548,ammqm,VXJVBSO,jt93
6,4.377503,njcbe,RRNMIXX,x^UG
9,5.355310,engbp,YQRIXQG,\kiH
6,5.128968,rxkfh,ICAINHW,FYb4
5,4.165135,peszd,IGZNZXT,_RFe
5,5.500674,tycbm,JAWWMNI,y>uG
9,4.012244,plucl,TXMKPVG,?Svk
6,5.765857,eurag,ELTKCAP,`GED
6,5.030240,mqawi,XEZQKVL,KU98
7,5.745682,cpjmr,MBPBEGV,J^y2
8,5.450708,uuvke,SVJTDHV,karh
9,4.378803,qbvuf,DPAXCWN,vbmI
9,4.030969,lyzed,ICWSODP,DcBw
6,5.258941,uearh,WGFNPAQ,d1Nw
5,5.229718,otqik,TXIPQZE,DY?<
5,4.849439,oubbj,BRPMIXF,>G;4
5,4.158561,osvdk,UJCPWSD,RwEc
7,5.026982,uezio,WOQJPIE,bpW_
8,5.129261,tnmkj,GNCPMVA,^j<e
8,4.859503,sokbf,UGJTFIU,@y]j
8,4.673005,lazam,UCIMICN,lJ]`
6,5.770948,lfuem,DADGKHU,9n8:
6,4.839319,axrni,VCORHFR,l8l=
8,5.375533,quoye,VSLQPRL,<D`y
5,4.754754,nljgs,OXLEUYY,CXZ7
6,5.872630,qhmgy,ETYYEPF,HHvq
8,5.214245,zivde,VDLLYGA,Y39s
9,4.641713,rxhrd,YYDDQNQ,3Dlf
7,4.568708,wxshx,ZJYWUMB,Oejt
